query_tx_hash,sender_tx_hash,receiver_tx_hash,sender_address,receiver_address,sender_chain,receiver_chain,bridge_type,status,job_id
0x783689e2873771b5a4276cf5be6992de2e23befee5edca0d3f8fa2900cde07b4,0x783689e2873771b5a4276cf5be6992de2e23befee5edca0d3f8fa2900cde07b4,0x7648289c1e95eb7d6f6b8e150265c2b9e911dcfd9017e1317e155b7c71915c6b,0xbcf1ca7b28a656675e5ad5b1350007882c49dd10,0xc1062b7c5dc8e4b1df9f200fe360cdc0ed6e7741,arb1,base,cctpv2,SUCCEEDED,YXJiMS8weGIxN2U2MzA2YmQxMTFmMWM1NWU2ZDgxMDhhODAzMDhkMTg3MDE3Y2VhNDcyZGQ2YzAwMjE1YmU2MmZjZGIzOTE
0x3a5b8e6a4edb7ba72209a2f09dc43b1c6156e94a0af36bf32ca13261ea4fabc5,0x3a5b8e6a4edb7ba72209a2f09dc43b1c6156e94a0af36bf32ca13261ea4fabc5,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDBlNThjY2JkOWE3Y2M5ZTcyMGYzMjRmOWRjYzg3ZTcwNTE2ODMwYzk2NzVhMmZiNWQxOWJhODY0NTU5ZjUwMzk
0x646c4e819738d3ced8a84647c35d82c279ca4707fe4af9e15ebee73d311fb310,0x646c4e819738d3ced8a84647c35d82c279ca4707fe4af9e15ebee73d311fb310,CqetPMEFgxB235Nxgxba77VBMbFDzfvRqu5WDY2meHUe,0x96da14f22976c1401502ee35ed3bdf56b5b2614d,0x83c1667109d6371d4310ca3bd19939423842f9dfcd40451d111af72702e54752,arb1,sui,cctp,SUCCEEDED,YXJiMS84MjkyMjU
0x38b7e6e19e669f674cb50933ad0a059b8b918be5890efed382861e588683bfb6,0x38b7e6e19e669f674cb50933ad0a059b8b918be5890efed382861e588683bfb6,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDFmM2NkMDkxODlkNTI1YmY0Yzg1ZTY1Y2YyOGJlNzNmNjAyYWYyMmY4ZmExNWNjMWVlYzdhYzIzYmIzOGY2NmM
0x503171edd09c820c2c8b40408a2659784e4e6516628644644ee955dae0402dce,0x503171edd09c820c2c8b40408a2659784e4e6516628644644ee955dae0402dce,0x0f4ac01da843e1450cdbc96ee22ed4b75a932bb6b6033d2174b424cd75a247bf,0xa8ec8ad3734ad04c0dbb139f0890d485aefac0e1,0xa8ec8ad3734ad04c0dbb139f0890d485aefac0e1,arb1,base,cctp,SUCCEEDED,YXJiMS84Mjg5OTg
0x255c6c61ad3b062912887c9343439bb333c61ae0bc06b76bb071c71f37bc6762,0x255c6c61ad3b062912887c9343439bb333c61ae0bc06b76bb071c71f37bc6762,,0x634ab57c4bada68888afd1d8f8bcc4c2247987a5,0x634ab57c4bada68888afd1d8f8bcc4c2247987a5,arb1,15,cctpv2,PENDING,YXJiMS8weGQxMDg5NzRhYWI1ZTAxMTUxOTQ2NmNlNTYwZTJiMTZlNmZhYmI1Y2M5ZTliYjMxYzY3YjAxYzE1Zjk2YmNjMDg
0x0323d690f322288f945a949fa527a1772cdf5e1109056ff7a32d15d1c07ee504,0x0323d690f322288f945a949fa527a1772cdf5e1109056ff7a32d15d1c07ee504,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDcxM2U3OGJlMDU5OTRjZjBhOTJjNzQzY2M2NDJjOGM4ZDY1MzRhNmRmNzUyMzZhNWI3YjFmMmU5MTk1ZGJhMTQ
0xd481f07375e40bb8f917682ba8ba69b7a33d2e9a2689f8494f60443a53ec5802,0xd481f07375e40bb8f917682ba8ba69b7a33d2e9a2689f8494f60443a53ec5802,0x88b8ffed5661320c6fe2107497bb99a895e523945ba6af2963f81b0ecce6dc3e,0x994d462fdee90b6f7f1604365f0509328435837c,0x994d462fdee90b6f7f1604365f0509328435837c,arb1,eth,cctp,SUCCEEDED,YXJiMS84MjkwNzg
0x4989bca3c56c4971855246eb76338d72c37de3a1ba7a328b3933ea73cc28b9df,0x4989bca3c56c4971855246eb76338d72c37de3a1ba7a328b3933ea73cc28b9df,b32163ea6f570024cd769756783639e272bfb788657cf4c212edc8654b2339e3,0x7ac1456d591f3a3cc3c229a99a94e40e41f0babd,noble18jdl8y0a2935jrsayeskkpg6twx3jkm8zrvy87,arb1,noble-1,cctp,SUCCEEDED,YXJiMS84MjkwMzU
0xd7de3990ac21a30a3aad628886708c956ebbb5b7e0e14a97e2bd1697c28d5076,0xd7de3990ac21a30a3aad628886708c956ebbb5b7e0e14a97e2bd1697c28d5076,0xc9384a001f746e4b9724bb3f50dfc0434d0dce667cbf6b95ba733534d03ed9bb,0xadd62287c10d90f65fd3bf8bf94183df115c030a,0xadd62287c10d90f65fd3bf8bf94183df115c030a,arb1,pol,cctpv2,SUCCEEDED,YXJiMS8weDZjMjM3ZmViM2JlMjQxNGE2NDgwYWZjYmJhMGIxZDcyMDVmMTY3M2U5MTU2MzYyNmViNjk5Y2M3NmRlZjUwNjg
